market_class,market_class_label,country_iso3,gics_code,sector,period,monthly_returns,first_return_month,last_return_month,efficiency_score,inefficiency_distance,vr_2m,vr_3m,vr_6m
developed,Developed,AUS,55,Utilities,2020-2021,24,2020-01-31,2021-12-31,0.747877556402194,0.252122443597806,1.1719705354606744,1.0195333120495647,0.4351365167168211
developed,Developed,AUS,60,Real Estate,2020-2021,24,2020-01-31,2021-12-31,0.7357020499828912,0.26429795001710876,0.9609097972111704,0.8603229106871404,0.38587344205036295
developed,Developed,AUS,30,Consumer Staples,2022-2025,48,2022-01-31,2025-12-31,0.6908642438122456,0.30913575618775435,0.8927420538327934,0.7129478007470244,0.46690287685691895
developed,Developed,AUS,45,Information Technology,2022-2025,48,2022-01-31,2025-12-31,0.8233728191240288,0.17662718087597118,0.9565972835821623,0.8238771469878131,0.689644026802111
developed,Developed,AUS,10,Energy,2022-2025,48,2022-01-31,2025-12-31,0.9102162870260432,0.08978371297395682,0.9902713213305738,0.9927767090954942,0.7476008306520615
developed,Developed,AUS,25,Consumer Discretionary,2022-2025,48,2022-01-31,2025-12-31,0.6390572804441776,0.36094271955582236,0.7933908687152524,0.6017065973142774,0.5220743753030034
developed,Developed,AUS,40,Financials,2022-2025,48,2022-01-31,2025-12-31,0.6379752748318095,0.3620247251681905,0.7676048032537731,0.6365968637366196,0.5097241575050355
developed,Developed,AUS,20,Industrials,2022-2025,48,2022-01-31,2025-12-31,0.6006977247492069,0.3993022752507931,0.7805846462866429,0.564272011310854,0.4572365166501241
developed,Developed,AUS,15,Materials,2022-2025,48,2022-01-31,2025-12-31,0.8341668413235745,0.16583315867642545,0.9315752103935433,0.8804976044704766,0.6904277091067036
developed,Developed,AUS,35,Health Care,2022-2025,48,2022-01-31,2025-12-31,0.6110911239140808,0.3889088760859192,0.7432620062438304,0.5718416163604981,0.5181697491379138
developed,Developed,AUS,50,Communication Services,2022-2025,48,2022-01-31,2025-12-31,0.9577032856961338,0.04229671430386617,1.0371923815587054,0.9461520834591803,0.9641501551879267
developed,Developed,AUS,55,Utilities,2022-2025,48,2022-01-31,2025-12-31,0.78313709550677,0.21686290449322998,0.9759815945784427,0.7706299554481324,0.6027997364937349
developed,Developed,AUS,60,Real Estate,2022-2025,48,2022-01-31,2025-12-31,0.748990628773986,0.25100937122601397,0.9293084820536532,0.739553882434904,0.5781095218334008
developed,Developed,AUT,20,Industrials,2008-2010,36,2008-01-31,2010-12-31,0.3494144443252153,0.6505855556747847,1.315886720281002,1.435943961890265,2.199925984853087
developed,Developed,AUT,40,Financials,2008-2010,36,2008-01-31,2010-12-31,0.14414213816698462,0.8558578618330154,1.4199740120095523,1.61459105751996,2.5330085159695335
developed,Developed,AUT,25,Consumer Discretionary,2008-2010,36,2008-01-31,2010-12-31,0.28350804774053184,0.7164919522594682,1.293555154285914,1.5309492039899537,2.3249714985025367
developed,Developed,AUT,20,Industrials,2020-2021,24,2020-01-31,2021-12-31,0.625623172358192,0.374376827641808,1.3332397304527228,1.3165915525714833,1.473299199901218
developed,Developed,AUT,20,Industrials,2022-2025,48,2022-01-31,2025-12-31,0.7078274709720647,0.29217252902793533,1.1924478055904153,1.3266119709991335,1.3574578104942572
developed,Developed,BEL,20,Industrials,2008-2010,36,2008-01-31,2010-12-31,0.16787130933697547,0.8321286906630245,1.3839181105965412,1.6276952075184863,2.484772753874046
developed,Developed,BEL,15,Materials,2008-2010,36,2008-01-31,2010-12-31,0.3973209310278729,0.6026790689721271,1.2498616543872463,1.3959456394548837,2.1622299130742513
developed,Developed,BEL,30,Consumer Staples,2008-2010,36,2008-01-31,2010-12-31,0.39060192464714427,0.6093980753528557,1.354523171405456,1.4764644776158091,1.9972065770373022
developed,Developed,BEL,40,Financials,2008-2010,36,2008-01-31,2010-12-31,0.06573970464986001,0.93426029535014,1.469617835703168,1.6632731195530133,2.669889930794239
developed,Developed,BEL,25,Consumer Discretionary,2008-2010,36,2008-01-31,2010-12-31,0.23268301050028073,0.7673169894997193,1.2947438763280725,1.4943586035875474,2.512848488583538
developed,Developed,BEL,45,Information Technology,2008-2010,36,2008-01-31,2010-12-31,0.11294633211008609,0.8870536678899139,1.3641523357705583,1.6423608702550376,2.6546477976441456
developed,Developed,BEL,35,Health Care,2008-2010,36,2008-01-31,2010-12-31,0.8868015984948688,0.11319840150513116,0.9857815099834545,0.8920502848452351,1.2174269993440832
